aligned_hidden_similarity_at_text_match,aligned_step_size_from_previous,bad_model,bad_segment_index,bad_segment_repeated_token_4gram,bad_segment_text,bad_token_end,bad_token_start,best_aligned_hidden_similarity,best_hidden_reference_segment_index,case_group_id,matched_reference_segment_index,matched_reference_text,question_id,reference_model,self_recurrence_to_prior_bad_segments,surface_text_similarity
0.9221497774124146,0.0,Qwen/Qwen3.5-0.8B,0,1,ICUの入学後、必ず履修しなければならない必修科目は「リベラルアーツ英語プログラム（ELA）」です。,26,0,0.9221497774124146,0,case_01_s30_023_agentic,0,ICUに入学した後、必ず履修しなければならない科目は「保健体育」です。,s30_023,Qwen/Qwen3.5-2B,0.0,0.37398770451545715
0.7201555967330933,49.37184524536133,Qwen/Qwen3.5-0.8B,1,1,[1] Title: ICUの入試について｜国際基督教大学（ICU） Source: https://www.icu.ac.jp,52,26,0.7201555967330933,3,case_01_s30_023_agentic,3,この公式ページは「保健体育｜国際基督教大学（ICU）」です。,s30_023,Qwen/Qwen3.5-2B,0.0,0.20427976548671722
0.6318802237510681,39.00525665283203,Qwen/Qwen3.5-0.8B,2,1,/admissions/undergraduate/exam Evidence: 一般選抜、総合型選抜<4月入学>、総合型選抜<4月/9月入学>,88,52,0.6318802237510681,1,case_01_s30_023_agentic,1,これは卒業要件上の必修科目として、保健体育プログラムの講義科目である「健康科学（Health Science）」と実技科目である「PEエクササイズ��・,s30_023,Qwen/Qwen3.5-2B,0.0,0.011202814988791943
0.7456285357475281,17.71197509765625,Qwen/Qwen3.5-0.8B,3,1,、EJU（日本留学試験）利用、学校推薦型選抜<4月入学専願>を受ける場合、卒業要件上の必修語学科目は「リベラル,124,88,0.7456285357475281,1,case_01_s30_023_agentic,1,これは卒業要件上の必修科目として、保健体育プログラムの講義科目である「健康科学（Health Science）」と実技科目である「PEエクササイズ��・,s30_023,Qwen/Qwen3.5-2B,0.8375726342201233,0.0732690840959549
0.5994176864624023,36.178775787353516,Qwen/Qwen3.5-0.8B,4,1,アーツ英語プログラム」（ELA: English for Liberal Arts Program）となります。,139,124,0.5994176864624023,1,case_01_s30_023_agentic,1,これは卒業要件上の必修科目として、保健体育プログラムの講義科目である「健康科学（Health Science）」と実技科目である「PEエクササイズ��・,s30_023,Qwen/Qwen3.5-2B,0.6888280510902405,0.031143739819526672
0.7084298729896545,43.19942092895508,Qwen/Qwen3.5-0.8B,5,1,[2] Title: ICUの入学について｜国際基督教大学（ICU） Source: https://www.icu.ac.jp,165,139,0.7084298729896545,3,case_01_s30_023_agentic,3,この公式ページは「保健体育｜国際基督教大学（ICU）」です。,s30_023,Qwen/Qwen3.5-2B,0.9395380020141602,0.20801444351673126
0.583875834941864,38.51476287841797,Qwen/Qwen3.5-0.8B,6,1,/admissions/undergraduate/undergraduate Evidence: 入学者選抜に関するお問い合わせ先（一般選抜、転編入学制度、総合型選抜<4月入学,201,165,0.6531133651733398,3,case_01_s30_023_agentic,1,これは卒業要件上の必修科目として、保健体育プログラムの講義科目である「健康科学（Health Science）」と実技科目である「PEエクササイズ��・,s30_023,Qwen/Qwen3.5-2B,0.8963052034378052,0.009066418744623661
0.5956602096557617,27.917415618896484,Qwen/Qwen3.5-0.8B,7,1,>、総合型選抜<4月/9月入学>、EJU（日本留学試験）利用、学校推薦型選抜<4月入学専願>,237,201,0.6401938796043396,3,case_01_s30_023_agentic,0,ICUに入学した後、必ず履修しなければならない科目は「保健体育」です。,s30_023,Qwen/Qwen3.5-2B,0.9641170501708984,0.003582914359867573
0.6817342042922974,33.441612243652344,Qwen/Qwen3.5-0.8B,8,0,、研究生、聴講生・科目等履修生）は、アドミッションズ・センターへお問い合わせください。,261,237,0.763085126876831,3,case_01_s30_023_agentic,0,ICUに入学した後、必ず履修しなければならない科目は「保健体育」です。,s30_023,Qwen/Qwen3.5-2B,0.8707922101020813,0.006820531561970711
0.6966795921325684,40.229244232177734,Qwen/Qwen3.5-0.8B,9,1,[3] Title: ICUの入学について｜国際基督教大学（ICU） Source: https://www.icu.ac.jp,287,261,0.6966795921325684,3,case_01_s30_023_agentic,3,この公式ページは「保健体育｜国際基督教大学（ICU）」です。,s30_023,Qwen/Qwen3.5-2B,0.9846335649490356,0.20801444351673126
0.5881986618041992,31.566444396972656,Qwen/Qwen3.5-0.8B,10,1,/admissions/undergraduate/undergraduate Evidence: 一般選抜、総合型選抜<4月入学>、総合型選抜<4月/9月入学,323,287,0.6110007762908936,3,case_01_s30_023_agentic,1,これは卒業要件上の必修科目として、保健体育プログラムの講義科目である「健康科学（Health Science）」と実技科目である「PEエクササイズ��・,s30_023,Qwen/Qwen3.5-2B,0.9818726778030396,0.00972369872033596
0.6948703527450562,20.789657592773438,Qwen/Qwen3.5-0.8B,11,1,>、EJU（日本留学試験）利用、学校推薦型選抜<4月入学専願>を受ける場合、卒業要件上の必修語学科目は「リベ,359,323,0.6948703527450562,1,case_01_s30_023_agentic,1,これは卒業要件上の必修科目として、保健体育プログラムの講義科目である「健康科学（Health Science）」と実技科目である「PEエクササイズ��・,s30_023,Qwen/Qwen3.5-2B,0.9737581014633179,0.07416241616010666
0.5905759334564209,24.65778923034668,Qwen/Qwen3.5-0.8B,12,1,ラルアーツ英語プログラム」（ELA: English for Liberal Arts Program）となります。 [4] Title: ICUの入学について,384,359,0.6522157788276672,3,case_01_s30_023_agentic,1,これは卒業要件上の必修科目として、保健体育プログラムの講義科目である「健康科学（Health Science）」と実技科目である「PEエクササイズ��・,s30_023,Qwen/Qwen3.5-2B,0.9361779689788818,0.026389995589852333
0.9092713594436646,0.0,Qwen/Qwen3.5-0.8B,0,1,ICUの入学後、必ず履修しなければならない必修科目は「リベラルアーツ英語プログラム（ELA）」です。,26,0,0.9092713594436646,0,case_01_s30_023_agentic,0,ICU に入学した後、必ず履修しなければならない科目は以下の通りです。 **1.,s30_023,Qwen/Qwen3.5-4B,0.0,0.3212462365627289
0.7037515044212341,49.37184524536133,Qwen/Qwen3.5-0.8B,1,1,[1] Title: ICUの入試について｜国際基督教大学（ICU） Source: https://www.icu.ac.jp,52,26,0.7037515044212341,9,case_01_s30_023_agentic,9,* 保健体育科目の詳細: [https://www.icu.ac.jp,s30_023,Qwen/Qwen3.5-4B,0.0,0.29403457045555115
0.5983561277389526,39.00525665283203,Qwen/Qwen3.5-0.8B,2,1,/admissions/undergraduate/exam Evidence: 一般選抜、総合型選抜<4月入学>、総合型選抜<4月/9月入学>,88,52,0.8327606916427612,7,case_01_s30_023_agentic,13,/admissions/undergraduate/exam) [2],s30_023,Qwen/Qwen3.5-4B,0.0,0.4583095908164978
0.7454918622970581,17.71197509765625,Qwen/Qwen3.5-0.8B,3,1,、EJU（日本留学試験）利用、学校推薦型選抜<4月入学専願>を受ける場合、卒業要件上の必修語学科目は「リベラル,124,88,0.8752105236053467,5,case_01_s30_023_agentic,4,語学科目** 入学時の選抜方法によって必修語学科目が異なります。,s30_023,Qwen/Qwen3.5-4B,0.8375726342201233,0.09784473478794098
0.6689029932022095,36.178775787353516,Qwen/Qwen3.5-0.8B,4,1,アーツ英語プログラム」（ELA: English for Liberal Arts Program）となります。,139,124,0.6689029932022095,7,case_01_s30_023_agentic,7,* **日本語教育プログラム（JLP）**: 総合型選抜（4 月/9 月入学）の English Language Based Admissions を受けた場合、必修です [2]。,s30_023,Qwen/Qwen3.5-4B,0.6888280510902405,0.12111175060272217
0.708429753780365,43.19942092895508,Qwen/Qwen3.5-0.8B,5,1,[2] Title: ICUの入学について｜国際基督教大学（ICU） Source: https://www.icu.ac.jp,165,139,0.7149806618690491,11,case_01_s30_023_agentic,9,* 保健体育科目の詳細: [https://www.icu.ac.jp,s30_023,Qwen/Qwen3.5-4B,0.9395380020141602,0.29873380064964294
0.517687976360321,38.51476287841797,Qwen/Qwen3.5-0.8B,6,1,/admissions/undergraduate/undergraduate Evidence: 入学者選抜に関するお問い合わせ先（一般選抜、転編入学制度、総合型選抜<4月入学,201,165,0.8048835396766663,5,case_01_s30_023_agentic,13,/admissions/undergraduate/exam) [2],s30_023,Qwen/Qwen3.5-4B,0.8963052034378052,0.4368217885494232
0.8125038146972656,27.917415618896484,Qwen/Qwen3.5-0.8B,7,1,>、総合型選抜<4月/9月入学>、EJU（日本留学試験）利用、学校推薦型選抜<4月入学専願>,237,201,0.8327462673187256,7,case_01_s30_023_agentic,5,* **リベラルアーツ英語プログラム（ELA）**: 一般選抜、総合型選抜（4 月入学専願）、EJU 利用などの場合、原則として必修です。,s30_023,Qwen/Qwen3.5-4B,0.9641170501708984,0.11250011622905731
0.6985827088356018,33.441612243652344,Qwen/Qwen3.5-0.8B,8,0,、研究生、聴講生・科目等履修生）は、アドミッションズ・センターへお問い合わせください。,261,237,0.8050224781036377,5,case_01_s30_023_agentic,1,保健体育科目** すべての学生が卒業要件として履修する必要があります。,s30_023,Qwen/Qwen3.5-4B,0.8707922101020813,0.006225625053048134
0.6691476702690125,40.229244232177734,Qwen/Qwen3.5-0.8B,9,1,[3] Title: ICUの入学について｜国際基督教大学（ICU） Source: https://www.icu.ac.jp,287,261,0.6980953216552734,11,case_01_s30_023_agentic,9,* 保健体育科目の詳細: [https://www.icu.ac.jp,s30_023,Qwen/Qwen3.5-4B,0.9846335649490356,0.29732441902160645
0.6304541826248169,31.566444396972656,Qwen/Qwen3.5-0.8B,10,1,/admissions/undergraduate/undergraduate Evidence: 一般選抜、総合型選抜<4月入学>、総合型選抜<4月/9月入学,323,287,0.785258412361145,7,case_01_s30_023_agentic,13,/admissions/undergraduate/exam) [2],s30_023,Qwen/Qwen3.5-4B,0.9818726778030396,0.47635364532470703
0.6490136384963989,20.789657592773438,Qwen/Qwen3.5-0.8B,11,1,>、EJU（日本留学試験）利用、学校推薦型選抜<4月入学専願>を受ける場合、卒業要件上の必修語学科目は「リベ,359,323,0.8176227807998657,7,case_01_s30_023_agentic,4,語学科目** 入学時の選抜方法によって必修語学科目が異なります。,s30_023,Qwen/Qwen3.5-4B,0.9737581014633179,0.09880248457193375
0.6430584192276001,24.65778923034668,Qwen/Qwen3.5-0.8B,12,1,ラルアーツ英語プログラム」（ELA: English for Liberal Arts Program）となります。 [4] Title: ICUの入学について,384,359,0.6999785900115967,7,case_01_s30_023_agentic,5,* **リベラルアーツ英語プログラム（ELA）**: 一般選抜、総合型選抜（4 月入学専願）、EJU 利用などの場合、原則として必修です。,s30_023,Qwen/Qwen3.5-4B,0.9361779689788818,0.12329171597957611
